,ticket_id,created_at,borough,request_type,channel,priority,distance_km,crew_size,service_time_min,status,cost_cad,is_canceled,cost_per_km,is_long_job
0,10000,2025-09-08,east,Bulk,WEB,1,5.52,3,58.0,Completed,110.78,False,20.068840579710148,True
1,10001,2025-11-05,west,Bulk,PHONE,3,1.96,1,40.0,Completed,62.33,False,31.801020408163264,False
2,10002,2025-10-25,central,Recycling,APP,1,7.87,3,61.0,Completed,89.06,False,11.316391359593393,True
3,10003,2025-10-07,west,Bulk,WEB,2,6.09,2,27.0,Completed,61.7,False,10.13136288998358,False
4,10004,2025-10-07,central,Bulk,APP,2,6.18,3,41.0,Completed,86.13,False,13.936893203883495,False
5,10005,2025-11-12,west,Bulk,WEB,2,13.43,3,68.0,Completed,119.86,False,8.924795234549515,True
6,10006,2025-09-08,central,Pickup,PHONE,1,2.92,1,51.0,Canceled,58.22,True,19.938356164383563,True
7,10007,2025-10-29,north,Recycling,APP,1,8.65,1,75.0,Completed,95.24,False,11.010404624277456,True
8,10008,2025-09-17,Unknown,Recycling,APP,2,4.52,1,46.0,Completed,62.7,False,13.871681415929206,False
9,10009,2025-09-08,east,Pickup,WEB,1,10.22,1,73.0,Completed,88.71,False,8.680039138943247,True
10,10010,2025-10-15,east,Pickup,Unknown,2,8.4,2,61.0,Completed,80.6,False,9.595238095238095,True
11,10011,2025-11-21,west,Recycling,WEB,2,8.64,1,43.0,Completed,49.81,False,5.765046296296296,False
12,10012,2025-11-01,central,Compost,WEB,2,4.67,4,40.0,Completed,87.59,False,18.7558886509636,False
13,10013,2025-11-03,central,Pickup,PHONE,1,7.7,4,40.0,Canceled,81.91,True,10.637662337662338,False
14,10014,2025-10-31,south,Compost,APP,2,10.28,1,60.0,Completed,78.28,False,7.614785992217899,True
15,10015,2025-11-06,west,Recycling,WEB,1,12.81,2,75.0,Completed,96.68,False,7.547228727556597,True
16,10016,2025-10-14,west,Compost,WEB,2,8.94,3,60.0,Completed,93.07,False,10.410514541387025,True
17,10017,2025-09-11,south,Recycling,APP,1,4.81,3,52.0,Completed,84.66,False,17.6008316008316,True
18,10018,2025-11-10,north,Recycling,APP,3,8.52,3,44.0,Completed,86.74,False,10.18075117370892,False
19,10019,2025-10-08,north,Recycling,APP,2,14.78,4,75.0,Completed,126.65,False,8.569012178619758,True
20,10020,2025-10-13,Unknown,Hazard,APP,1,7.81,3,60.0,Completed,120.53,False,15.432778489116519,True
21,10021,2025-10-02,east,Recycling,WEB,1,11.89,3,65.0,Completed,95.13,False,8.000841042893187,True
22,10022,2025-09-16,central,Recycling,PHONE,2,5.28,3,33.0,Completed,57.41,False,10.873106060606059,False
23,10023,2025-11-17,east,Bulk,PHONE,1,7.37,3,47.0,Completed,92.64,False,12.569877883310719,False
24,10024,2025-11-05,central,Compost,APP,1,9.36,2,68.0,Completed,77.7,False,8.301282051282053,True
25,10025,2025-10-25,south,Pickup,APP,3,8.69,3,45.0,Completed,81.17,False,9.340621403912543,False
26,10026,2025-10-04,north,Recycling,APP,2,5.2,4,29.0,Completed,67.32,False,12.946153846153845,False
27,10027,2025-11-09,north,Recycling,WEB,1,5.07,2,34.0,Completed,56.31,False,11.106508875739644,False
28,10028,2025-10-16,north,Hazard,WEB,2,10.46,1,74.0,Completed,106.61,False,10.192160611854684,True
29,10029,2025-10-08,central,Recycling,APP,2,11.07,3,53.0,Completed,80.82,False,7.30081300813008,True
30,10030,2025-10-08,central,Recycling,WEB,3,12.04,4,58.0,Completed,99.49,False,8.263289036544851,True
31,10031,2025-09-20,central,Hazard,APP,1,12.91,4,78.0,Completed,130.28,False,10.09140201394268,True
32,10032,2025-09-08,north,Bulk,APP,2,7.9,3,37.0,Canceled,67.32,True,8.521518987341771,False
33,10033,2025-10-17,south,Pickup,APP,2,6.57,4,41.0,Canceled,100.39,True,15.280060882800608,False
34,10034,2025-11-14,north,Pickup,INPERSON,1,11.55,2,67.0,Completed,91.32,False,7.906493506493505,True
35,10035,2025-09-06,north,Pickup,WEB,1,9.64,2,65.0,Completed,83.16,False,8.62655601659751,True
36,10036,2025-11-12,west,Pickup,PHONE,2,4.55,2,49.0,Completed,65.88,False,14.47912087912088,False
37,10037,2025-11-09,west,Recycling,APP,3,4.4,2,24.0,Completed,45.54,False,10.35,False
38,10038,2025-09-24,west,Compost,APP,2,8.98,3,55.0,Completed,87.53,False,9.747216035634743,True
39,10039,2025-10-24,central,Compost,PHONE,2,6.97,4,51.0,Completed,91.94,False,13.190817790530847,True
40,10040,2025-09-14,west,Pickup,APP,2,7.42,2,47.0,Completed,70.83,False,9.545822102425875,False
41,10041,2025-11-03,central,Recycling,WEB,3,10.72,1,63.0,Completed,65.63,False,6.122201492537313,True
42,10042,2025-10-29,north,Pickup,WEB,2,9.78,4,55.0,Completed,92.5,False,9.458077709611453,True
43,10043,2025-09-30,south,Hazard,APP,2,11.49,4,60.0,Completed,123.22,False,10.724107919930374,True
44,10044,2025-09-06,west,Pickup,WEB,2,1.71,4,31.0,Completed,68.44,False,40.0233918128655,False
45,10045,2025-11-21,central,Bulk,INPERSON,2,8.26,2,56.0,Completed,98.57,False,11.933414043583534,True
46,10046,2025-10-08,north,Pickup,PHONE,3,9.58,3,41.0,Completed,73.36,False,7.6576200417536535,False
47,10047,2025-11-15,east,Bulk,PHONE,1,2.92,3,45.0,Completed,84.28,False,28.863013698630137,False
48,10048,2025-10-27,west,Recycling,WEB,1,5.54,4,54.0,Completed,97.96,False,17.68231046931408,True
49,10049,2025-11-05,north,Compost,APP,3,4.98,4,34.0,Completed,68.19,False,13.692771084337348,False
